strategy,cost_bps,annual_return,annual_volatility,sharpe,max_drawdown,avg_turnover,cumulative_return
Elastic Net,0.0,0.027398220105090187,0.3028693536632671,0.18481812237023343,-0.7353871180887149,0.5630310636739987,0.965487223697594
Elastic Net,10.0,0.020476960315804593,0.30282307063351555,0.16255655868857946,-0.751520155058688,0.5630310636739987,0.65989301891954
Elastic Net,25.0,0.010174163884594245,0.30275684084665594,0.1291508932502188,-0.7739111717142984,0.5630310636739987,0.2879719982054807
Elastic Net,50.0,-0.006788168985078058,0.302654983346957,0.07344236885929215,-0.8068746761383186,0.5630310636739987,-0.1565737676518527
Random Forest,0.0,0.089428639679628,0.2237399587033749,0.41687080961716416,-0.5113820132747059,0.7339378844017652,7.510786642278214
Random Forest,10.0,0.07992062389466326,0.22370862330245853,0.37764704376622854,-0.5230036027329765,0.7339378844017652,5.835902832277859
Random Forest,25.0,0.06579977877171128,0.22366704907036178,0.3187840647225346,-0.5399383317042832,0.7339378844017652,3.9191565493984424
Random Forest,50.0,0.042637045936457785,0.22361224428872473,0.22061881789349216,-0.5668841367074534,0.7339378844017652,1.8400683664232895
Torch (gamma=5.0),0.0,0.13483011722564697,0.19332770681873274,0.6630598056560957,-0.5657714009284973,0.5338844060897827,22.619535446166992
Torch (gamma=5.0),10.0,0.12764286994934082,0.19334767051979693,0.629912035477547,-0.5713486671447754,0.5338844060897827,19.150644302368164
Torch (gamma=5.0),25.0,0.11693918704986572,0.1933815455781638,0.5801870412588426,-0.5795871019363403,0.5338844060897827,14.875913619995117
Torch (gamma=5.0),50.0,0.0993044376373291,0.19344853431263329,0.4973121478257936,-0.5929846167564392,0.5338844060897827,9.664731979370117
